Code,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
1017,1.0189186987498238,-0.996897659954394,-0.021952778907729176,0.6805523437116913,-0.021003624329609203,0.06917170233149882,-0.572358811809809,0.1032821191768077,0.04905364811168718,-0.20087897368827223,0.46989763365142234,-0.08454376567808758,-0.6105339208980175,1.7662986512751493,-2.9010485926485434,-2.969066748950005,-3.4412582018847275,5.689279607377949,-0.2874233468899918,1.095151595764571,0.3244509444646476,1.300364791022365
1071,-0.10436022676073316,0.06830645666793582,-0.06612741490783089,-0.10516461979128212,-0.048014554461451434,-0.07175604577795786,-0.014614262652914989,0.013531421385312022,-0.045117813029514356,0.05557908334638394,0.09108540941436498,-0.0841356500759761,0.06197876210125437,-0.3641861936648548,-0.05360749217890641,-0.051296081328170214,-0.12008392801207562,-0.03680663262685938,-0.015448366806717273,0.04313932262598265,0.020111751134789996,0.027838954752835113
1151,-0.0932978100494429,0.05770288788306326,-0.06563649079675768,-0.09516180050143486,-0.04854386609072946,-0.06988883543879168,-0.01949259840457525,0.012198637450622657,-0.04674923748564951,0.05185985491290313,0.08536698451475716,-0.09615340374535401,0.05293624340587416,-0.33088845439816317,-0.08986574998747482,-0.04678768432327917,-0.12732787980209107,-0.09824602598514477,-0.00869634155045731,0.2655612522399205,0.03709146678254595,0.04945875397919594
1213,0.18903240737005483,-0.2558720107588851,-0.13729353934751337,1.0753193640759637,-0.04223898004054909,0.18011600139169012,-0.36391125135293934,-0.04508431914283406,-0.14389335230355488,-0.3812147539904668,-0.7462794565471061,0.3330127617246614,-0.27497938556121576,1.3943598092160845,0.5656912040062028,0.10218292509191183,-0.010098407091893764,0.23152069364474334,0.05570706986429604,1.0016133786422872,0.16847882316660684,-0.5152594139449364
1348,0.2748696572441123,-0.2129228308645021,-0.2690182766357777,0.591082201644314,-0.10836739326961736,0.0421483254550564,-0.20738409130671923,-0.0829735270552009,-0.17577022517978388,-0.10394641011603514,-0.46622643375218437,0.04424386632721817,-0.7238915921056791,3.5377412259871335,0.365795609034304,0.738557778287238,0.7787496197800187,-0.30361196696617015,0.28919039220188875,0.22871039882158714,-0.08397348105646195,0.09750102782814181
1455,-0.05734628248021105,0.05669597872435511,-0.11267517471881054,-0.07444159108428008,-0.05869624339217528,-0.07149856956034893,-0.018179006000321025,0.00021641030663797445,-0.06065405708271256,0.059910704483625045,0.05920114196159619,-0.06642421239783534,-0.04081902167002155,0.1010750697355249,0.009148355959645135,-0.04152302127408505,-0.1120440411973499,-0.09380450687089294,0.029533990284682936,0.35430310025235195,0.0003998312985658484,0.05535005342925899
1696,0.10059682209240076,-0.12066832057216326,-0.09100931392428943,0.026767270902883254,-0.09437617922757464,-0.06360810446903552,0.11850180640008799,-0.051233577487231105,-0.14897895605156847,-0.07748206252481793,-0.10910654924616434,-0.07197413278996236,-0.2855144598423882,1.2366470364331426,-0.31120976651628224,0.26910550726878457,0.15227205327110302,-0.5583879201640736,0.14261536362326022,1.522012577474284,0.06766494473938847,0.20014078669272278
1794,0.08388340722858764,-0.06079879079841442,-0.1918008850030462,0.3779608015940252,-0.07241453561901366,0.016385781509713093,-0.14282476575265213,-0.03704893959526565,-0.1161507373905757,-0.08147585410231262,-0.28512234491600297,0.12091964541145452,-0.31203997002803907,1.522582589746682,0.4182111350969122,0.23844932903139515,0.2266508028047384,-0.10526373502031147,0.12660764970181726,0.29348955006774047,-0.02141238982960726,0.034780289028173816
1874,0.45255922070703586,-0.7796291320096841,0.24773691603179604,0.32389154038359413,-0.08351172548684993,0.002294438821204352,-0.27492218081889286,-0.03713088474160302,-0.1274979159190411,-0.05307524448875548,-0.1263293782393175,-1.3489146184739491,-0.5767010797469528,2.2646568802961635,-3.022533371611982,1.1756203438152897,0.9450703788257281,0.7683887229983368,0.08995581847341862,0.306309142572925,0.6271621151683101,-0.9942909646074848
1936,-0.030558707310615222,0.03815240646551177,-0.12885984144814425,-0.039745693914680115,-0.0646366339821463,-0.06741493532607351,-0.026931258888984504,-0.007254168242116023,-0.07041268179544574,0.0569284109777708,0.028218838614914026,-0.0659573507549687,-0.10751637688147879,0.433342602697052,0.03519162970191917,0.035014677327314885,-0.019517638027143996,-0.08835958319159208,0.05398310783555178,0.22385934257558268,-0.021311152323183008,0.052487045160477655
