,Varianta,Varianta cumulata,Procent varianta,Procent varianta cumulata
C1,7.6383937422009645,7.6383937422009645,34.719971555458926,34.719971555458926
C2,2.3955189673392376,10.033912709540202,10.888722578814715,45.60869413427364
C3,1.8823958905291713,11.916308600069373,8.556344956950777,54.165039091224415
C4,1.0447305563331657,12.961039156402538,4.748775256059843,58.91381434728426
C5,1.002536959164587,13.963576115567125,4.556986178020849,63.47080052530511
C6,0.9956102560036113,14.959186371570738,4.525501163652778,67.99630168895789
C7,0.9767139404096217,15.93590031198036,4.439608820043734,72.43591050900162
C8,0.9647840461685411,16.9006843581489,4.385382028038823,76.82129253704043
C9,0.9439293226160578,17.844613680764958,4.290587830072989,81.11188036711343
C10,0.926468077713681,18.77108175847864,4.211218535062186,85.32309890217562
C11,0.83277169430477,19.60385345278341,3.7853258832034995,89.10842478537911
C12,0.6579668674790203,20.261820320262434,2.990758488541001,92.09918327392012
C13,0.5465198386151959,20.80834015887763,2.484181084614527,94.58336435853465
C14,0.38709525979624587,21.195435418673878,1.7595239081647536,96.3428882666994
C15,0.26984593394334355,21.46528135261722,1.2265724270151976,97.5694606937146
C16,0.16636186644933887,21.63164321906656,0.7561903020424493,98.32565099575706
C17,0.14458818721612962,21.77623140628269,0.6572190328005891,98.98287002855764
C18,0.09147515083172837,21.867706557114417,0.41579614014421984,99.39866616870187
C19,0.059911256258802434,21.92761781337322,0.27232389208546554,99.67099006078733
C20,0.03576166963290238,21.963379483006122,0.1625530437859199,99.83354310457325
C21,0.02712790772445584,21.990507390730578,0.12330867147479925,99.95685177604805
C22,0.009492609269425549,22.000000000000004,0.0431482239519343,99.99999999999999
