,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
Varianta factor,0.9323296226150424,0.8085507637759723,0.7923608486512074,0.7453410428222524,0.7271062020631327,0.649129348396118,0.6398262287018506,0.5797175505053003,0.5732568101341022,0.4844489080444828,0.4753708624277543,0.3259849708652746,0.0379966468018805,0.0
Procent varianta,0.0665949730439316,0.057753625983998025,0.05659720347508624,0.053238645915875175,0.051936157290223765,0.04636638202829414,0.045701873478703615,0.04140839646466431,0.040946915009578734,0.034603493431748775,0.03395506160198245,0.023284640776091044,0.0027140462001343213,0.0
Varianta cumulata,0.0665949730439316,0.12434859902792962,0.18094580250301587,0.23418444841889105,0.2861206057091148,0.3324869877374089,0.37818886121611256,0.4195972576807769,0.46054417269035564,0.4951476661221044,0.5291027277240868,0.5523873685001779,0.5551014147003122,0.5551014147003122
