Siruta,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
1017,-0.6883449225121406,1.120848873787837,-0.9574306925970705,-1.0516955709427276,0.9450130974530452,-0.2776431689614608,0.27513551977447004,-0.8389862431510395,0.23887208720332193,-0.024432610951075986,0.5932558748503549,0.09898948037137419,0.2108505639098629,0.0
1213,0.03389493545976568,-0.8473732511788665,0.8729141387386999,0.9920470380238118,0.3866686653113129,-0.1244545879182586,0.4992608207665857,-1.082922844336629,-0.32155675956524493,-0.8495186931683324,-0.8021910998082121,-0.8936101703537168,-0.10716168251376415,0.0
1348,0.2030412435506231,0.20711034075055085,0.8775131741142533,-0.8655773060307508,-0.6929453176320074,-1.6216535071141613,1.3483137007092427,-0.06432487392325055,0.16751897985582906,0.8567833979649765,0.847018571817794,-0.06088765808013293,0.2186112923685487,0.0
1874,-0.24344696046341568,-0.012051506890248483,-1.2265537639953106,0.41026848245468894,-0.6512181209902218,1.3075385646231554,-1.255380569947369,0.7464639733899583,0.9353899084206423,0.861773222777175,0.8849999958581941,-0.6900284275418436,0.0895501466349496,0.0
1151,-0.5676251588774556,0.7450752577400038,1.1480117898328333,-0.1616166582959802,-0.610600481123149,0.9402033263570974,0.9364077155367847,0.2752794124266289,-0.11806045324680013,-0.5363780210151908,0.5136464525886938,-0.3436848746811313,-0.3365570329353525,0.0
2915,-0.09766122888806757,0.25760127026678004,-0.8339889097734875,1.218904544454933,-0.5883926951558666,-1.3516810673994053,0.11058640058140534,0.250743128970824,0.10911123158059079,-0.29403931670269084,-0.004333643174321801,0.3021963246357402,-0.08796792418017864,0.0
1455,0.3289127831222831,1.2269791571011104,-1.089589342639335,0.923679436025335,-0.5688069635732323,-0.4063194004355573,0.9511915943025274,0.929929646599368,0.5210028584355801,-1.252605881146375,-0.7427751059818656,0.30747361773956744,-0.22666678410764862,0.0
1696,-0.7863260821546053,0.8103441448874601,-0.052502974419332896,0.3856039373166607,-0.8098182334944383,-0.023346711285284642,-0.779625509636497,-0.6782347290294144,-0.6966213141296946,0.283157440622048,0.8919026476846244,-0.533467154401725,-0.14881657619154323,0.0
1794,-0.6462856078752658,-0.34014381774409397,1.65357685214006,0.5528103060680936,0.7422159788012233,-0.45287975589579377,-0.6232588404227781,-0.11355757312272899,0.08082941855312457,0.7893895997505892,0.031233179173133722,0.05394904158767905,-0.10849372392472585,0.0
8096,-1.1581575032216251,-0.8914878415955296,0.3357642546910097,-0.8205936545191449,-0.32032098731860287,0.20960048824863406,0.4090435175591836,0.3719966562560063,1.158779804205437,0.9507521612759556,-0.7834346084828223,-0.3488347855130995,0.1467298124589376,0.0
