,Comunalitate
2008,0.5196135069292359
2009,0.4874225695977724
2010,0.6290407740780386
2011,0.28274569380641557
2012,0.6351802956570742
2013,0.5010809973673755
2014,0.45201654391142526
2015,0.6361864811714149
2016,0.5099667590114763
2017,0.6549139236705106
2018,0.5275173178563467
2019,0.6293729129079848
2020,0.6157514195720251
2021,0.6906106102672749
