,Varianta
I1,0.0048638395237960985
I2a,0.0047755863801854925
I2b,0.004989689615274018
R1a,0.004604493746162119
R1b,0.004310574164763548
G,0.0049931230681904415
J2,0.004874467188357712
J1,0.004994870761863668
E1b1b,0.004900877004354931
T,0.12369296132470942
Q,0.36883162990306184
N,0.0047024781363856905
