,Varianta,Procent varianta,Procent cumulat
F1,0.9323296226150424,6.65949730439316,6.65949730439316
F2,0.8085507637759723,5.775362598399802,12.434859902792962
F3,0.7923608486512074,5.659720347508624,18.094580250301586
F4,0.7453410428222524,5.323864591587517,23.418444841889105
F5,0.7271062020631327,5.193615729022376,28.61206057091148
F6,0.649129348396118,4.636638202829414,33.24869877374089
F7,0.6398262287018506,4.570187347870362,37.81888612161126
F8,0.5797175505053003,4.14083964646643,41.95972576807769
F9,0.5732568101341022,4.0946915009578735,46.05441726903556
F10,0.4844489080444828,3.4603493431748773,49.514766612210444
F11,0.4753708624277543,3.395506160198245,52.91027277240868
F12,0.3259849708652746,2.3284640776091043,55.23873685001779
F13,0.0379966468018805,0.27140462001343213,55.510141470031215
F14,0.0,0.0,55.510141470031215
