,Index KMO
I1,0.23054383815194007
I2a,0.1665005479181449
I2b,0.4811325859449473
R1a,0.1699578219473712
R1b,0.19495342768095128
G,0.5116246801577661
J2,0.39657503339823036
J1,0.6174981406917266
E1b1b,0.2952557061954532
T,0.8685062182309669
Q,0.6675075516423559
N,0.15426643485076644
Index global,0.30918548244204563
