,Z1,Z2,Z3,Z4
prodPorc,0.3679827970916314,0.6306633515109578,-0.4037083676163779,0.551245818144777
prodVite,-0.16675754971556128,0.23040786525258314,-0.39391589635752394,0.8740334100247306
prodOaieSiCapra,-0.6152812842959742,0.5836441719476274,0.20898448754729726,0.48694343173643845
prodPasareDeCurte,0.002405636384534346,0.4126714374167083,0.04170784330255667,0.9099213996060668
