tari,U1,U2,U3,U4
Bulgaria,-0.32029289630871366,-1.0907231685564907,1.0810707501615717,-1.1964688508581978
Czech Republic,1.2419927982415548,0.1914740598355248,0.2555832891080214,-0.023620679783627283
Denmark,-0.020869493761072597,0.02353053761585038,-1.4967051914709184,0.47888259768173125
Germany,1.0883467538524905,0.627394887900136,-0.9846931752983981,-0.41848221360096144
Estonia,-0.20950558796982685,-1.134256495777433,-0.09481346227662567,-0.7099206915136047
Ireland,-1.0529830940908613,0.20897111330361373,-0.04691821073215963,0.6138732302936892
Greece,-3.2110567527086307,1.7254695673424936,0.5421074294395841,-1.4731935184558511
Spain,0.6739225128084069,1.8368443093501678,-0.031200933966213523,0.6503368403204726
France,-1.2386503240144386,-0.5444126424820988,-0.6062826814885353,0.34317460072395506
Croatia,-0.10542266126123047,-0.8735763580839723,-0.016088794515558426,-1.4512959120231494
Italy,-0.17783111952622344,-0.1601577551739843,-1.3390811294838985,0.014807204788822031
Cyprus,-0.4186815552241918,1.539217141839082,1.4386284246779706,-0.47746614672570625
Latvia,0.4104725103292746,-0.7389570332690635,0.3701692714210439,-0.6457052167692494
Lithuania,1.1803747349745344,0.08002588894887991,0.3815547867452761,-0.06948614018737402
Luxembourg,-0.9050953964441383,-0.4271668148049264,-0.937885959038887,3.3560293154403715
Hungary,1.5573016256438046,0.32859233131328486,0.7000005275659305,0.03985154959020304
Malta,-0.1915080232081113,-0.5055928698847418,-0.2824906649879,0.4910184849135095
Netherlands,0.4562506210450355,-0.5864140710531769,3.709155840760793,1.9279993129333013
Austria,1.2791160043452448,1.1971291165511357,-1.4227632053346009,0.19715731030881736
Poland,1.6074292633612766,0.4804240819531663,0.018884264236896372,-0.5180108082396669
Portugal,0.01871711666008918,0.45300712924969827,-0.09903880778910974,0.47997830637057987
Romania,0.010644856799447598,-0.18936299725761585,0.5136946113252866,-0.89785962737762
Slovenia,-0.06202078411383557,-0.34522389034327927,-0.7793727637473098,0.18771030768140964
Slovakia,0.6262849924640049,-0.6251068418764387,0.2731832175828751,-0.9645085087773563
Finland,-0.14162718041565378,-0.8247454578903775,-0.6473481855249897,-0.3085476758226217
Sweden,-0.539296001855477,-0.7043273829300527,-1.1966007809551724,-0.20972733667085622
United Kingdom,-1.5560129196227594,0.05794361418061666,0.6972515335850278,0.5834742657589796
