Code,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12
ALB,-0.06554759796861076,-0.0517824892681254,-0.3098381958259243,-0.008273463577570838,-0.23868132659053162,-0.2202702286248264,-0.19245498918538018,0.025557573658336087,-0.23588821881930608,-0.22176933241768038,-0.5354023470983827,0.18617641125996134
AUT,0.024832795310043145,-0.2786430195703323,0.05049866592681707,0.19849024636051052,-0.041657973566515426,-0.02601668608729152,-0.2683185428549049,-0.1507254182470803,-0.06346465467298763,-0.07953179222546788,0.2813579998023129,-0.2561131358102957
BLR,-0.0570807996120141,-0.0011250122360910082,-0.05748921455202376,0.053889076373682704,0.14397706789226875,-0.010374297234508265,0.09878573284032065,-0.22439838313147778,0.35338611135468867,-0.08429536480868968,-0.05590889695834563,-0.06003447963433941
BEL,0.06975790330160925,0.11467599639398922,0.2221548697636361,0.00353133869053555,-0.10254705337068455,-0.047338709887566485,0.02503358955061241,-0.0739658772088983,0.004249048792304828,0.14313619201464986,0.013039348913958042,0.0322152443432673
BIH,-0.1487923465161509,0.10781870047839966,-0.08146992191511754,-0.36457617363631833,-0.060080510861224616,-0.17479694145412128,-0.027348489150336074,0.38365924386226125,0.2679845786667543,0.27894586736083704,0.24690138584852409,-0.08141356300676451
BGR,0.03519878667965333,0.06699300449444938,-0.23796884104821947,-0.3413979777969085,-0.2288000507623701,0.07847030793611448,0.2648333646140998,-0.297265906298335,-0.06442116705166377,-0.11745322880541335,-0.0059588481594550725,-0.07864920154876731
HRV,-0.1050154075479437,0.10459838553261289,-0.08525485474468728,-0.08409908244154544,-0.0012609653370545845,-0.15034596132940523,-0.03922820534760628,0.19268130424228896,0.23914924648075941,0.019685178918637844,0.10565397906468729,-0.10537230592416726
CZE,0.025471181761954818,-0.07299266920773999,-0.03250687236054815,0.01058822361827304,0.03801333106655127,0.19637963222456056,-0.2551146903978125,-0.04753241295065581,0.04230836940446454,0.01372872659265687,0.2148320984211838,0.2384136361062967
CYP,0.7156242558283473,-0.016497975609871,-0.1249037548619391,0.08835161226187221,0.2795078660314387,-0.22671732086994112,0.08321328612378899,0.2552420204855533,0.046254334154280395,-0.06687142646222514,0.03733333958940708,0.10263284635121118
DNK,-0.0026783775618834035,0.19566056171486573,0.16424491238732286,-0.14045984782865176,0.29529484032023134,-0.08021213255570649,-0.15255944858045797,-0.17472321328460436,-0.12104018062834844,-0.0767102613173556,0.06650221570698014,0.00803726340274986
EST,-0.04514910071749167,0.017772424794586753,-0.08753196265786962,-0.1133245616777032,0.26299509342833816,0.41678437321618084,0.21955909310909655,0.1192639896905949,-0.19779834601378402,0.34468667895554067,-0.1652112991704465,-0.15385442369174254
FIN,-0.2980955423214711,-0.17397314886899215,-0.06504435202894039,0.1968341665852872,0.26585973602848695,-0.4272521450240976,0.30316539285386945,-0.06392661733623045,-0.3960293936840986,0.11303929130800867,0.11942132239780746,-0.16961956751850069
FRA,0.03940142820422022,-0.05701324230305748,0.20214384282207945,0.10756334305721586,-0.24951310896182982,-0.05316557820606996,0.034501434467771375,0.0031442200862156666,-0.05296791881917929,-0.006114169769310324,0.07710792451321109,-0.06888589400033211
DEU,-0.01311565846029715,-0.016669455167545175,0.06820276816681639,0.10002316775457291,0.01670490114096846,0.074416221667007,-0.2584974066856258,-0.1810871865598359,-0.10665011434020505,0.09902586878997925,0.08627253197195181,-0.07360531279736683
GRC,0.3527689192611979,0.02771200112130147,-0.24732849568199936,-0.11065956549201353,0.14388198083290757,0.15071797936052614,-0.12721133404925336,-0.07866587823073107,-0.14922060281314334,0.2052087267543988,-0.11390235642779785,-0.0932502789529603
HUN,0.04142756235248059,0.20318385698102073,0.02716990332627401,0.013846861528983897,-0.012854772941610975,-0.12255985955107575,0.3748481361385238,-0.07193532159017488,0.27730123453421707,-0.33448112969372257,-0.012877310180593295,-0.11481473546571344
