CountryCode,U1,U2,U3,U4,U5,U6
RO,-0.18071227709746185,-0.1322510333513996,-0.1927564886462927,0.1964598316420297,0.9329829169818776,-0.06036625166151139
BG,-0.717306464424533,0.4772083122981833,-0.3569929539260796,-0.3295090302050373,0.1458703383616788,0.02110300961978968
PL,0.4571928018844197,-0.035791324053176476,-0.2155089864936529,-0.24062269421533547,-0.8246436232304508,0.07289179283005918
HU,0.9018899178912965,0.2450214405545111,0.019200371165098127,-0.12381718004266425,0.26508697365285017,0.20146617023113494
CZ,0.8697369252834519,0.053118866464573235,0.310062254042929,-0.22661065697565755,-0.3052755645167897,-0.007204533006413921
SK,0.8973315646510303,0.06434179515321822,-0.06908910555257476,0.21785027360845408,0.3574757912550997,-0.10312714931870377
UA,0.0995076929127639,0.025501926145454507,-0.33002556831911,-0.7292788510994475,-0.5836073426794635,-0.08992119872079382
RU,-0.05433321095810009,0.12974089908754324,0.7580654831814716,0.4519079129554683,0.42833147232802415,-0.13365370373214766
DE,-0.043142203873540716,-0.1696812732230627,0.7326100300962083,-0.47391343136832625,0.4505908870166416,0.07073522228014625
FR,-0.009686593191212907,0.004021740956894816,0.06380200205038174,0.9011960194037314,-0.39319157170077057,-0.17048584281615234
ES,-0.331354092356266,0.004561539799473614,-0.20399878445816927,0.6542088753922253,-0.6471015476179268,-0.04287759556605477
IT,0.7831245450308468,0.13807517255918622,-0.3941901652977802,0.3606205627450811,0.27970061654226425,0.06313225884432593
SE,-0.07853383588230582,0.5175600042777958,-0.049951689125290896,-0.8144644913669242,0.24115502402033717,-0.04428040242903461
FI,-0.4523094766934833,-0.2026712420552065,0.07799325700164972,0.8398439610419896,0.06963536568211501,0.1951168720202354
NO,-0.2724097573632686,-0.7324259163144504,-0.5812443806615313,0.1891081908985499,-0.0994618150799947,-0.07645659310802458
DK,-0.7983254978387702,0.0787597715891583,0.45834383018758323,0.20211753737038146,0.25981909619432864,0.1950301759953416
NL,0.17864426123588242,0.10824867295199575,-0.550945087159565,0.15617838400148723,0.7724643061836567,0.17814368276546547
BE,0.26537381228058665,-0.10162407056179067,-0.26466336971172705,-0.0780038817308012,-0.9165528735687262,0.0552160588849996
LU,-0.7772639321266182,0.3239198765600405,-0.06557655150838795,-0.5353842886652149,-0.00012839566998171576,0.00023715323610790676
AT,-0.38612729862031964,0.35211437279429186,-0.6133567571460646,-0.49831919358419996,0.2783165039475066,-0.15790051023081111
CH,0.015751866234153825,-0.3814885101214644,0.6081236535730085,-0.012503578251623385,0.6666824813062384,-0.19945462383891924
IE,0.6884684970568933,0.07870519393237772,-0.34534820857223136,-0.1919022811324365,0.5943183324415914,0.10252058361252778
PT,-0.033268444182211226,-0.07640424424327312,-0.40517097703022,0.557059740085129,0.7195270690711906,-0.029280100850186112
GR,0.630064306784547,-0.1367201391249992,-0.4824888373763173,0.011080228401900628,-0.5871123799100674,-0.08189857493203018
HR,0.8181873880262512,0.09959779159178081,-0.08203035117325967,0.41715061082600924,0.37072978025622416,-0.04965377518247548
SI,-0.5501471160092966,-0.12392665399047294,-0.7254560329659276,0.3890381451786854,-0.06335410342868834,0.018150994060744132
EE,-0.4773042972358914,0.02376838810557386,0.6014428773379815,0.46793318986461646,-0.42702281095156946,0.09258609839802757
LV,-0.4781362886641372,0.28261161407534435,0.2900644279601079,0.665450774643492,-0.40057835076220377,0.06396283382870273
LT,0.700018899922809,-0.01125519948406984,-0.4613189219570754,-0.16686611888042083,0.5158032615605253,0.055985767951376546
AL,-0.03755589104647288,-0.02499201729357773,0.8764190578086225,-0.45236852343434625,0.15751945290924624,-0.02012287728309079
RS,0.698977705138192,-0.264705364082043,-0.07799894011683245,0.030668201294632783,0.6489019925935124,-0.11516539725156827
BA,-0.8342758075592477,-0.03951872098871351,0.0833227260070003,-0.4995040490707232,0.21028353445574474,0.04190478543431331
ME,0.19896762092385498,0.04810432837440569,-0.24518491435857437,0.14102831940612467,-0.9370219104444886,0.009119740071505775
MK,0.2960446099866155,-0.056161714837374956,0.8895188125031243,-0.23801396997716223,-0.23586310751340303,0.07535036494444451
XK,-0.27636333008416825,0.18746889189539634,0.6481131549351897,0.6622759697344168,-0.15602532828648527,-0.0739912130032222
CY,0.6510415767234042,-0.08935756801021894,-0.7159388394695668,0.021565785363284722,0.22936709465405447,0.050172914479781595
MT,-0.7566240970857092,-0.05448357058571865,-0.3086049934501575,-0.5703851937818213,-0.06289050439270559,-0.004470954573665698
IS,-0.7644790051014079,-0.04437248911355787,0.0640426466069354,0.55941120664378,0.3098573347081192,-0.02343088546211299
LI,-0.3893578966142346,-0.10032776625457399,-0.21192277710245427,-0.838499063267365,-0.29605810064251814,-0.05188859365396371
MC,-0.5626728944198044,-0.8027811142070044,-0.04496566216894483,0.0289883987775551,0.0799081527690632,0.17231989334043243
SM,-0.0022674016644020833,0.057371300723504645,0.8625806187839787,0.3114417631211032,-0.38392409387618315,-0.09090867486991638
VA,0.1408152021443809,-0.4849669215227384,0.4724700876934598,-0.3942775566792186,0.5781838837622142,-0.1788820420428989
