CountryCode,Z1,Z2,Z3,Z4,Z5,Z6
RO,-0.5412505255737028,0.6580954901037196,-0.5142916370104663,-0.020899441391095782,0.09500273639201365,-2.422630959271284e-16
BG,-0.43405551142264914,0.8399562326571905,-0.3112962205575085,-0.09545776313714208,-0.007198523975532582,-2.0507228596442802e-16
PL,0.6184217549737495,-0.4866694017485001,-0.23277246627548706,-0.5459958691438122,-0.16856131287714046,-3.775604689916008e-16
HU,0.1647936572351068,-0.10811123483262573,0.6628934162307597,0.6960959456970067,0.19281536385917342,9.15235939631779e-16
CZ,0.9226161385117053,0.3461741829379541,0.14964592421635306,0.05831492246448393,0.056110277208229045,-9.526778972597065e-17
SK,0.38867465075195784,0.050809403233479274,0.8608856801399526,0.317092930946654,-0.06839838652726352,8.608518439935853e-16
UA,-0.20442383479777199,-0.040953404869339585,-0.45786008390771926,-0.8029661908196878,-0.3195984267181523,-4.100472648489327e-16
RU,0.27393653259408624,-0.31888057493394883,0.30896599091486227,0.7717534080300013,0.36360782264989744,4.97777814901784e-16
DE,-0.04713465667200777,-0.2529005421732907,0.6320810768255505,-0.5312459231461365,-0.5020666503249638,8.477592630156555e-16
FR,-0.3650891731606336,-0.4713233515988419,-0.7737823424704586,-0.16511210744586463,0.1362463663157088,-5.83241606439228e-16
ES,-0.15283913260308707,-0.3633754609876397,0.22182030603263297,0.80834048064181,0.37680219357709804,5.835550766965271e-16
IT,0.2289303849115756,0.7465401667251639,-0.46088107400244255,-0.41421559910415623,-0.07926368282727231,-6.186321794023e-16
SE,0.43884746261720814,0.43292228425810547,0.48704681725013016,-0.4752370919758581,-0.39613924895676583,4.428992294758981e-16
FI,-0.17366961202723366,-0.6324569968919208,0.6818550069456494,-0.13092928715810773,-0.29625712516019137,1.0528743335806273e-15
NO,-0.3720101098524277,0.34318031304162155,0.5577733329794121,0.6424154925207443,0.14151676541882485,9.563109729356423e-16
DK,-0.4946357200138691,0.6662723794119182,0.5200731821146147,0.05079104341497682,-0.19585907197048344,8.890805486506267e-16
NL,0.32615191166898727,-0.18810967922154928,-0.7995369669137414,-0.46710363218042833,0.02818713252632613,-1.0115356763991415e-15
BE,0.05463958089297781,0.13833501667352904,-0.34290018763650093,0.4291083909507108,-0.8222915477470985,-5.0869764207154025e-16
LU,-0.3101079961422478,0.489473447678455,-0.7019614041656376,0.24917237862477482,0.3307749802187045,-5.081601217508845e-16
AT,-0.29394753717614186,0.4385954237969422,0.27674227939514384,-0.6407426329730116,-0.48383002046013435,4.601461783190618e-16
CH,0.2847967853071226,0.24330898957066213,0.5874375348283957,-0.5387733755697881,-0.47363690642168654,7.291257409564105e-16
IE,0.12340431751916559,-0.11809503074851659,-0.3138940962752381,-0.8584961523499763,-0.3678040114707476,-3.6312521664142935e-16
PT,-0.20032204921060073,-0.12085446371910843,-0.5297295458876444,0.6336474151968705,0.5129744990028522,-4.135586620306132e-16
GR,0.6807343296809244,-0.6374823042445023,0.02981353585292469,-0.3363207897091359,-0.12734427218509642,-5.358683496956368e-17
HR,0.8102020000163864,0.1842644324746966,0.41941589033567267,0.34429626103002653,0.1231654727141665,2.1209048239062996e-16
SI,-0.5301654369731278,-0.1193631947805923,-0.6520932049780673,-0.5146184671681643,-0.12091039013163488,-4.319718770762073e-16
EE,-0.2534682134447693,0.4094584737409586,0.8027164942383602,-0.08933949976555655,-0.34023860262198086,1.0808735991026722e-15
LV,0.1644107762055152,0.3849898608153643,-0.17987642016478125,0.746975476544379,0.4841735377391741,-1.3250513586944696e-16
LT,0.37370392703530064,0.09225385357299846,0.28920698354445906,0.7897137113506718,0.3801922884451879,4.1041954050178787e-16
AL,-0.10741833002068701,0.24781443758265326,0.2499445153997439,-0.33688204202938743,0.8666530654655629,5.591210679232055e-16
RS,0.6810087013049435,-0.006138437273867652,-0.6885462102070431,-0.08181416012011575,0.23537210528893945,-1.006494470407984e-15
BA,-0.6930955399379019,-0.710921998356214,-0.08932647420355333,-0.061026480185277725,-0.05005031961889297,2.7051471853303157e-16
ME,-0.029136832165230817,0.43281319732418544,0.26628605677477074,-0.7050332412323831,-0.4938052712943583,2.800059187781046e-16
MK,0.6279437194281394,-0.42960223025005967,0.6013084007040637,-0.1310701918214263,-0.20585776899001051,6.99771350948885e-16
XK,-0.9088931075152404,0.3095244183795301,0.010197978526888323,0.2715702730689864,0.06521918090028823,4.1486784253480027e-16
CY,0.42398351028749914,-0.17090521272950884,-0.627551153237061,0.41368900597388003,0.47546855592494164,-7.282022813607449e-16
MT,-0.7998275948615966,0.41942675131568324,0.21728788121401652,0.3657353211535517,0.05814353202994868,5.292174272353761e-16
IS,-0.7744653147443405,-0.08425760164923701,0.5833616057200084,0.053206199326451355,-0.22352286269479385,1.0638447352623336e-15
LI,-0.22894505827666498,-0.7627320570386346,-0.1733333676931289,-0.5259024177081263,-0.24332315991128706,7.573128220794474e-17
MC,-0.29638292587979664,-0.9277309488334282,-0.1375352182136135,0.1382618069629599,0.11593180887844735,2.6841532391297205e-17
SM,0.007914069382489982,0.06314925100601733,-0.15551514585320902,0.4641620360247458,-0.869665558319292,-3.570947612426347e-16
VA,0.13275291842796585,-0.8483955005946914,0.12694059653292958,-0.4274459386313616,-0.2525426532666495,1.3247285381673728e-16
