Region,AirEmiss,Sulphur,Nitrogen,Ammonia,NonMeth,Partic,GreenGE,GreenGIE
EasternE,1549.5945651384145,688.1108769890286,582.2335246675871,96.92036619922982,87.24660321150913,15.965269200029063,1274.4968393518855,761.3020417060234
NorthernE,11216.475517151086,7093.50615344331,2109.1516103692065,672.3121235925635,584.7132757266301,107.98900235663787,10003.011259492014,4347.499345378371
SouthernE,6130.854704819562,2552.6628767978145,1175.9069704191863,525.5416644950811,283.2378936679135,52.51628431489748,5707.499094493163,2951.17891712767
WesternE,2456.461212549178,1377.922929486533,727.5633007162312,305.8266922223343,140.13164531423382,16.77141127811964,2016.8566528800566,1319.439120347019
