Continent,GNI,ChangesInv,Exports_Imports,FinalConsExp,GrossCF,HouseholdConsExp,AgrHuntForFish,Construction,Manufacturing,MiningManUt,TradeT,TransportComm,Other
Africa,0.448466881603962,0.43692741910122324,0.4439978575094419,0.35949775256420996,0.31095469598052483,0.37354666614773685,0.6499710692191464,0.5556871310489655,0.5840866602057115,0.6550046868552634,0.5655313815236104,0.6286967971798856,0.5006974377522155
Asia,0.5649056110364313,0.4686384161530851,0.475230854076192,0.546909373006869,0.3925081215735013,0.3157929842485279,0.8139451229495008,0.6645060767394109,0.4984966012119843,0.6995440034488374,0.6530083241619833,0.6304731903905474,0.7407186473479619
Europe,0.685595329859433,0.3615787165679166,0.5546619402288022,0.38734114145362364,0.27084813086441323,0.2969611665683786,0.8300612056624393,0.809417174943696,0.8079248535528679,0.7778119634964664,0.8500557494041981,0.8063087256765553,0.7615635926853267
North America,0.5265843823798761,0.6655728468005192,0.6082841927264239,0.3109289548805826,0.4034593893507086,0.4083978170311784,0.7317761545738125,0.6290529296378155,0.67756382658847,0.6183707990492812,0.5731853861242902,0.5040896707198755,0.5817926033331464
Oceania,0.5695279972239411,0.6066708521058715,0.5527544422047184,0.3905536319566913,0.3801887594937496,0.47516086813980835,0.7770184955111266,0.6027434078836545,0.6867799837746447,0.6055041065609652,0.6766034906917597,0.7168392299550027,0.6848256612683572
South America,0.5085849633859214,0.43263020125136475,0.41578524547253953,0.36920862768642126,0.3855193792159499,0.47089183432326354,0.5692487631236406,0.6683857731237618,0.7217183978763517,0.6831440626478729,0.6387636019684347,0.595151080464417,0.6209693764252158
