,Varianta
C1,0.13753625657676394
C2,0.13399390364541242
C3,0.10197488085389356
C4,0.09553449336990395
C5,0.08128457271188222
C6,0.0753769683974076
C7,0.06854049608346807
C8,0.05622847843073589
C9,0.047955107425466624
C10,0.046945399457191075
C11,0.04184007655721261
C12,0.038011577336104725
C13,0.029903267138422843
C14,0.02487452201613443
