Continent,GNI,ChangesInv,Exports,Imports,FinalConsExp,GrossCF,HouseholdConsExp,AgrHuntForFish,Construction,Manufacturing,MiningManUt,TradeT,TransportComm,Other
Africa,0.3014538539541292,6.558194817669089,0.3011863886295737,0.3393954335123144,0.3753291730956512,0.3325176238473198,0.37686347317435154,0.42922465969285667,0.630862044654343,0.19024496957686715,0.44770848058254153,0.36173133967729804,0.38413405961238967,0.2949204313539581
Asia,0.390221323099606,26.50421939137942,0.49574612106721255,0.37966505186291094,0.3412137596779731,0.37697156695042755,0.391113204926909,0.501308071068056,0.3946519624993607,0.40399988507354706,0.4493553719787156,0.31677252693537655,0.41120217488197197,0.3742661874807589
Europe,0.2924253862533383,13.610136415336127,0.28138238873632226,0.4538247198174347,0.29295901260611545,0.4212614004736955,0.3805254894076215,0.4997842091562343,0.4554021574643362,0.39580602684443794,0.41247029263157,0.33729938457677067,0.32526524587768796,0.4100083234679939
North America,0.5583563484157945,1.8135298458437623,0.21206856370935537,0.25364247007252005,0.4799188228330304,0.2282408317881665,0.23035864104118142,0.1256110391397784,0.11396272731527259,0.07138913760577309,0.4208154050558591,0.4669560262754979,0.13123000465527487,0.3776990986604447
Oceania,0.028475536210603596,0.32270916334661354,0.11385121249486231,0.6250933532486931,0.32961837217156364,0.23432665689627097,0.12364602493357858,0.20276953511374876,0.012797074954296161,0.44979253112033196,0.007398975526465566,0.22602057749751078,0.24559471365638766,0.1488164987110382
South America,0.5527651520366644,1.5778192077800928,0.4425700287967228,0.3121725647991747,0.3792563582023928,0.27322357530779795,0.25268373368375086,0.6077304194798856,0.36654200078815247,0.23421227033752112,0.4453175355962126,0.33500175136095894,0.4162750849389084,0.19214191058280533
